Run,Energy Consumption (Joules),Execution Time (Seconds)
1,2049.6294555664062,190.05048
2,2050.2542724609375,190.0512
3,2049.3050537109375,190.05135
4,2048.8175048828125,190.04953
5,2049.0162963867188,190.04675
6,2052.7005004882812,190.04802
7,2049.8177490234375,190.05565
8,2049.8192749023438,190.0508
9,2048.896728515625,190.05522
10,2050.7079467773438,190.0452
11,2049.5745239257812,190.05562
12,2048.6475830078125,190.04916
13,2056.9971923828125,190.05043
14,2050.0540161132812,190.05046
15,2048.4803466796875,190.04994
16,2050.222900390625,190.05055
17,2050.6511840820312,190.05426
18,2050.7230834960938,190.05128
19,2048.2421875,190.05157
20,2048.4143676757812,190.0483
21,2047.8646240234375,190.04666
22,2048.75732421875,190.04778
23,2049.6203002929688,190.05617
24,2050.901611328125,190.05055
25,2051.6441650390625,190.05125
26,2049.3461303710938,190.04759
27,2049.9473266601562,190.0503
28,2050.708984375,190.04688
29,2048.7697143554688,190.04932
30,2057.06689453125,190.05077